position_noise,position_filtred
  4862.94,  4840.20
  4835.25,  4840.20
  4877.66,  4872.20
  4878.63,  4872.20
  4859.45,  4904.20
  4868.58,  4904.20
  4973.13,  4936.20
  4950.07,  4936.20
  4961.30,  4968.20
  4940.20,  4968.20
  4990.89,  5000.20
